"fold","model","accuracy","tuned_lambda"
1,"intercept",0.4125,NA
1,"all_parameters",0.523076923076923,NA
1,"all_plus_squared",0.520192307692308,NA
1,"all_plus_squared_interactions",0.502884615384615,NA
1,"all_plus_squared_plus_interactions_plus_squared_interactions",0.485576923076923,NA
1,"lasso",0.521153846153846,5.78178656848974e-05
1,"lasso_all_plus_squared",0.530769230769231,0.00124564815535147
1,"ridge",0.525,0.0172508115389817
1,"ridge_all_plus_squared",0.517307692307692,0.0172508115389817
2,"intercept",0.433653846153846,NA
2,"all_parameters",0.554807692307692,NA
2,"all_plus_squared",0.567307692307692,NA
2,"all_plus_squared_interactions",0.530769230769231,NA
2,"all_plus_squared_plus_interactions_plus_squared_interactions",0.520192307692308,NA
2,"lasso",0.555769230769231,0.000318181717893059
2,"lasso_all_plus_squared",0.563461538461538,0.000383251005647811
2,"ridge",0.552884615384615,0.0195233351708712
2,"ridge_all_plus_squared",0.556730769230769,0.0374440048662853
3,"intercept",0.430221366698749,NA
3,"all_parameters",0.512993262752647,NA
3,"all_plus_squared",0.51106833493744,NA
3,"all_plus_squared_interactions",0.505293551491819,NA
3,"all_plus_squared_plus_interactions_plus_squared_interactions",0.492781520692974,NA
3,"lasso",0.51395572666025,0.000139535287516799
3,"lasso_all_plus_squared",0.520692974013474,0.00188797910249958
3,"ridge",0.515880654475457,0.0180216753850077
3,"ridge_all_plus_squared",0.516843118383061,0.0238235942557391
4,"intercept",0.446583253128008,NA
4,"all_parameters",0.537054860442733,NA
4,"all_plus_squared",0.545717035611165,NA
4,"all_plus_squared_interactions",0.516843118383061,NA
4,"all_plus_squared_plus_interactions_plus_squared_interactions",0.497593840230991,NA
4,"lasso",0.545717035611165,0.000168917690258832
4,"lasso_all_plus_squared",0.553416746871992,0.000168917690258832
4,"ridge",0.539942252165544,0.0181124902482237
4,"ridge_all_plus_squared",0.53609239653513,0.0262781221023501
5,"intercept",0.436958614051973,NA
5,"all_parameters",0.541867179980751,NA
5,"all_plus_squared",0.543792107795958,NA
5,"all_plus_squared_interactions",0.490856592877767,NA
5,"all_plus_squared_plus_interactions_plus_squared_interactions",0.48604427333975,NA
5,"lasso",0.544754571703561,0.00170170194265681
5,"lasso_all_plus_squared",0.545717035611165,0.00117291714079517
5,"ridge",0.53897978825794,0.0195654371265158
5,"ridge_all_plus_squared",0.537054860442733,0.0195654371265158
