"model","avg_accuracy","avg_tuned_lambda"
"lasso",0.534729954838232,0.00170369008234953
"lasso_all_plus_squared",0.540115865847338,0.000628018129880809
"ridge",0.534537647145924,0.023707929418803
"ridge_all_plus_squared",0.535690752942918,0.0238172185539798
"all_parameters",0.533959983712149,NA
"all_plus_squared",0.537615495668912,NA
"all_plus_squared_interactions",0.509329421781299,NA
"all_plus_squared_plus_interactions_plus_squared_interactions",0.496437773006589,NA
"intercept",0.431983416006515,NA
"random_forest",0.664997408751018,NA
"random_forest_all_plus_squared",0.66403587028948,NA
